key,jp,en,ru
phrase295,だがその耳は真っ赤で,"But his ears were bright red,","Но его уши были ярко-красными,"
phrase296,マリアの手を掴んだ手も熱い。,"and the hand that held Maria's was burning hot.","а рука, державшая Марию, была горячей."
phrase297,……明日。明日ちゃんとやるから,"...Tomorrow. Tomorrow, I'll do it properly,","...Завтра. Завтра я сделаю всё как надо,"
phrase298,ここに来て責任とってよね。,,"so come here and take responsibility, okay?","так что приходи и возьми на себя ответственность, ладно?"
phrase299,絶対だよ。拒否権なんて、あげないから。,,"And no backing out. You don't get a say in this.","И без отказов. У тебя нет права отказаться."
phrase300,それだけ言って,"With that,","Сказав это,"
phrase301,キースはマリアの手を離すと,"Keith let go of Maria's hand","Кит отпустил руку Марии"
phrase302,足早に去っていった。,"and quickly walked away.","и быстро ушёл."
phrase303,……。,"...","..."
phrase304,え、私のせい、って……？,"Wait, what do you mean, my fault...?","Подожди, из-за меня...?"
phrase305,残されたマリアは,,"Left behind, Maria","Оставшись одна, Мария"
phrase306,ワンテンポ遅れて状況を理解する。,,"slowly realized the situation.","медленно поняла, что произошло."
phrase307,――～～っ!!,"—Wha!!","—Что!!"
phrase308,ぼっ、とマリアの顔が真っ赤になった。,"Maria's face turned bright red.","Лицо Марии стало ярко-красным."
phrase309,昨日のことを思い出すと,"As she remembered what had happened yesterday,","Вспоминая вчерашнее,"
phrase310,マリアは顔に熱が灯るのを感じる。,"Maria felt her face heat up.","Мария почувствовала, как её лицо разгорелось."
phrase311,キースとの約束どおり,"Just as she had promised Keith,","Как и обещала Киту,"
phrase312,マリアは昨日と同じ場所にいた。,"Maria was at the same place as yesterday.","Мария была на том же месте, что и вчера."
phrase313,これから何が起きるのか……,"What was about to happen...","Что же будет дальше..."
phrase314,さすがにわからないほど子供ではない。,"She wasn't too naive to know.","Она была достаточно взрослой, чтобы понять."
phrase315,（も、もっといいお洋服で,,"(Maybe I should've worn something nicer...","(Может, мне стоило надеть что-то получше..."
phrase316,来るべきだったかなぁ……）,,"before coming...)","прежде чем приходить...)"
phrase317,そわそわしながら待っていると,"As she nervously waited,","Пока она нервно ждала,"
phrase318,一つの足音が近づいてくる。,"she heard footsteps approaching.","она услышала приближающиеся шаги."
phrase319,キースだった。,"It was Keith.","Это был Кит."
phrase320,彼もまた、マリアと同じく,,"He too, just like Maria,","Он тоже, как и Мария,"
phrase321,どこか気もそぞろな様子だ。,,"seemed a little uneasy.","выглядел слегка взволнованным."
phrase322,あー……。実は昨日、言い忘れてたんだけど……。,,"Uh... Actually, I forgot to tell you yesterday...","Эм... На самом деле, я забыл сказать тебе вчера..."
phrase323,本当は薔薇園で待ち合わせね、って,,"I was planning to meet you at the rose garden...","Я планировал встретить тебя в розарии..."
phrase324,言うつもりだったんだけど、焦っちゃって。,,"but I got too flustered.","но я слишком разволновался."
phrase325,ちょっと言い訳のように、そう言ってから。,,"After that excuse, he said,","После этих оправданий он добавил:"
phrase326,行くよ。,,"Let's go.","Пойдём."
phrase327,キースはマリアの手を引いて庭園の中を歩きだす。,,"Keith took Maria's hand and led her through the garden.","Кит взял Марию за руку и повёл через сад."
phrase328,彼の手は昨日に増して熱く、しっとりと汗ばんでいた。,,"His hand was even warmer than yesterday and slightly sweaty.","Его рука была ещё горячее, чем вчера, и слегка вспотела."
phrase329,（キース様、緊張してるんだ……）,,"(Lord Keith is nervous...)", "(Кит-сама волнуется...)"
phrase330,彼の緊張はマリアにも伝わってくる。,,"His nervousness was contagious for Maria.","Его напряжение передавалось и Марии."
phrase331,二人は終始無言のまま、薔薇園にたどりついた。,,"They reached the rose garden in silence.","Они в тишине добрались до розария."
phrase332,……ふー。,,"...Phew.","...Фух."
phrase333,キースは深呼吸をすると、マリアへと向き合った。,,"Keith took a deep breath and faced Maria.","Кит глубоко вздохнул и повернулся к Марии."
phrase334,緊張した、真剣な眼差し。,,"His eyes were serious and tense.","Его взгляд был серьёзным и напряжённым."
phrase335,昨日からキースが見せる顔は,,"The face Keith had shown since yesterday","Его выражение с тех пор, как они встретились вчера,"
phrase336,マリアにとっては初めて続きだ。,,"was one Maria had never seen before.","было для Марии совершенно новым."
phrase337,だからこそ、,"That's why","И именно поэтому"
phrase338,マリアもかつてないほどドキドキしてしまう。,,"Maria's heart was racing like never before.","сердце Марии билось как никогда раньше."
phrase339,マリアは真っ直ぐにキースを見つめた。,,"Maria looked straight into Keith's eyes.","Мария посмотрела прямо в глаза Киту."
phrase340,心の準備はできている、と視線で伝える。,,"She told him with her eyes that she was ready.","Её взгляд говорил, что она готова."
phrase341,キースはそれを汲み取って、マリアへと語り始めた。,,"Keith understood and began to speak to Maria.","Кит понял её и начал говорить."
phrase342,僕がこんなことを言うのは,,"It's not really like me to say something like this,","Не в моём духе говорить такие вещи,"
phrase343,ガラじゃないかもしれないけど……。,,"but...","но..."
phrase344,僕は君が好きだ。,,"I love you.","Я люблю тебя."
phrase345,一人の女性として、愛してるってこと。,,"As a woman, I love you.","Как женщину, я люблю тебя."
phrase346,君を世界で一番幸せにしたいんだ。,,"I want to make you the happiest person in the world.","Я хочу сделать тебя самой счастливой на свете."
phrase347,……僕は、君を貶めていた女の弟だ。,,"...I'm the brother of the woman who tormented you.","...Я брат той, которая мучила тебя."
phrase348,君が何かを配慮する必要なんてない。,,"You don't need to worry about anything.","Тебе не нужно о чём-то беспокоиться."
phrase349,率直な答えを聞かせてくれ。,,"Just give me your honest answer.","Просто скажи мне честно."
phrase350,シンプルで、真っ直ぐな言葉だった。,,"His words were simple and straightforward.","Его слова были простыми и прямыми."
phrase351,そしてマリアの心にも気を配った,,"But they were filled with concern for Maria's heart.","Но в них было столько заботы о Марии."
phrase352,優しい思いが込められていた。,,"",""
phrase353,ドキリ――マリアの心は揺れる。,,"Thump—Maria's heart trembled.","Тук—сердце Марии затрепетало."
phrase354,……私なんかで、いいんですか？,,"...Are you sure you want someone like me?","...Ты уверен, что я тебе подхожу?"
phrase355,君でないとダメなんだ、マリア。,,"It has to be you, Maria.","Только ты, Мария."
phrase356,君がいると僕のカラッポの心が満たされる。,,"When you're with me, my empty heart feels full.","Когда ты рядом, моё пустое сердце наполняется."
phrase357,君は僕自身を見てくれる。本当の僕と手を繋いでくれる。,,"You see me for who I am. You hold the real me close.","Ты видишь меня таким, какой я есть. Ты держишь за руку настоящего меня."
phrase358,……それが、すごく幸せなんだ。,,"...And that makes me incredibly happy.","...И это делает меня по-настоящему счастливым."
phrase359,……こんな気持ちは初めてなんだ。,,"...I've never felt like this before.","...Я никогда раньше не испытывал ничего подобного."
phrase360,キース様……。,,"Lord Keith...","Кит-сама..."
phrase361,（どう答える？）,,"(How should I answer?)","(Что мне ответить?)"
text362,喜んでお受けします,"I'd be happy to accept.","С радостью приму."
text363,本当にいいんですか？,"Are you really sure about this?","Ты точно уверен в этом?"
phrase364,マリアは小さく息を整え,,"Maria took a small breath","Мария глубоко вздохнула"
phrase365,そして、心からの笑みを浮かべてみせた。,,"and gave him a heartfelt smile.","и одарила его искренней улыбкой."
phrase366,喜んで。,,"I'd be happy to.","С радостью."
phrase367,キース様、私も……あなたのことが、大好きです。,,"Lord Keith, I... I love you too.","Кит-сама, я... я тоже тебя люблю."
phrase368,マリア……！,,"Maria...!","Мария...!"
phrase369,キースは安堵と感動と幸せが,,"Relief, joy, and happiness filled Keith's face as","Облегчение, радость и счастье отразились на лице Кита,"
phrase370,ないまぜになった笑みを浮かべると,,"he smiled and","когда он улыбнулся"
phrase371,マリアをぎゅっと抱きしめた。,,"hugged Maria tightly.","и крепко обнял Марию."
phrase372,ありがとう、マリア。君を大切にする。,,"Thank you, Maria. I'll cherish you forever.","Спасибо, Мария. Я буду всегда тебя оберегать."
phrase373,言葉終わりに、キースはマリアの頬にそっと口付ける。,,"With those words, Keith gently kissed Maria's cheek.","С этими словами Кит нежно поцеловал Марию в щёку."
phrase374,それから、マリアへとウインクをしてみせた。,,"Then, he gave Maria a playful wink.","Затем он подмигнул Марии."
phrase375,唇へのキスは、結婚式の時にとっておくよ。,,"I'll save the kiss on the lips for our wedding day.","Поцелуй в губы я приберегу до свадьбы."
phrase376,キースはマリアの唇に指先でツンと触れた。,,"Keith gently poked Maria's lips with his finger.","Кит нежно коснулся губ Марии своим пальцем."
phrase377,（いつものキース様だ）,,"(That's the Keith I know.)","(Вот он, мой Кит-сама.)"
phrase378,照れつつも、マリアは大きな幸せに包まれていた。,,"Blushing, Maria felt overwhelmed with happiness.","Смущаясь, Мария была охвачена огромным счастьем."
phrase379,お気持ちは嬉しいです。,,"I'm touched by your feelings.","Ваши чувства тронули меня."
phrase380,でも……本当に、いいんですか？,,"But... are you really sure about this?","Но... ты точно в этом уверен?"
phrase381,キースとマリアは身分が違う。,,"Keith and Maria were of different statuses.","Кит и Мария были из разных сословий."
phrase382,特にキースは公爵家の御曹司。,,"Keith was especially the heir to a duke's house.","Особенно Кит, как наследник герцогского рода."
phrase383,好きだから、という甘い理由だけで,,"Love alone wasn't enough to justify this,","Любовь не могла быть единственной причиной,"
phrase384,許されるような、幼い立場ではない。,,"especially in such high positions.","особенно в их положении."
phrase385,マリアはキースを想うからこそ、彼が心配だった。,,"Maria cared about Keith, and that's why she was worried.","Мария беспокоилась за Кита, потому что она его любила."
phrase386,はぁ……。,,"Sigh...","Вздох..."
phrase387,僕がそんなに、青二才に見える？,,"Do I really seem that naive to you?","Я выгляжу таким наивным?"
phrase388,ヘコむな～……。,,"That hurts...","Ох, это больно..."
phrase389,あっ、いえ、そんなつもりは……！,,"Ah, no, I didn't mean...!","Ах, нет, я не это имела в виду...!"
phrase390,わかってるよ、うん――,,"I know, I know—","Я знаю, знаю—"
phrase391,わかってる。君の気持ちは。,,"I understand how you feel.","Я понимаю, что ты чувствуешь."
phrase392,でもさ……,,"But...","Но..."
phrase393,そうやって僕のことまで考えてくれる。,,"It's because you think of me like that,","Именно потому что ты так обо мне заботишься,"
phrase394,だからこそ、僕は君を生涯のパートナーにしたいんだ。,,"that I want you to be my partner for life.","я хочу, чтобы ты стала моей спутницей на всю жизнь."
phrase395,キース様……。,,"Lord Keith...","Кит-сама..."
phrase396,僕は覚悟を決めてるよ。……君は？,,"I've already made up my mind. What about you?","Я уже всё решил. А ты?"
phrase397,私は……。,,"I...","Я..."
phrase398,キースは両腕を広げてマリアを待つ。,,"Keith opened his arms, waiting for Maria.","Кит раскрыл объятия, ожидая Марию."
phrase399,マリアは一呼吸分の間を置くと,,"Maria paused for a moment","Мария сделала паузу"
phrase400,自ら彼の腕の中へ、その身を預けた。,,"before stepping into his arms.","прежде чем шагнуть в его объятия."
phrase401,それを、彼の気持ちへの答えとする。,,"That was her answer to his feelings.","Это был её ответ на его чувства."
phrase402,……ありがとう、マリア。君を大切にする。,,"...Thank you, Maria. I'll always cherish you.","...Спасибо, Мария. Я всегда буду тебя беречь."
phrase403,キースに優しく抱きしめられ、,,"Held gently by Keith,","Когда Кит нежно обнял её,"
phrase404,マリアは幸せな気持ちと共に頷いた。,,"Maria nodded with happiness in her heart.","Мария счастливо кивнула."
